car_id,href,brand_model,production_year,price,volume,power,gearbox_type,mileage
52515585,https://auto.drom.ru/krasnoyarsk/audi/a3/52515585.html,Audi A3,2012,1200000,2.0,180,робот,134114
52516452,https://auto.drom.ru/vladivostok/audi/a6/52516452.html,Audi A6,2020,5200000,2.0,252,робот,31000
52518660,https://auto.drom.ru/ufa/audi/a8/52518660.html,Audi A8,2015,2599000,3.0,310,АКПП,142763
52523212,https://auto.drom.ru/novokuznetsk/audi/q5/52523212.html,Audi Q5,2019,4500000,2.0,249,робот,96000
52526477,https://auto.drom.ru/rossosh/audi/100/52526477.html,Audi 100,1984,53000,2.0,75,механика,550000
52529824,https://auto.drom.ru/novosibirsk/audi/s8/52529824.html,Audi S8,2000,800000,4.0,360,АКПП,300000
52537157,https://auto.drom.ru/verhniy-ufaley/audi/80/52537157.html,Audi 80,1989,300000,2.0,90,механика,155154
52538132,https://auto.drom.ru/chelyabinsk/audi/q3_sportback/52538132.html,Audi Q3 Sportback,2021,4399000,1.0,150,робот,40900
52554809,https://auto.drom.ru/tyumen/audi/q8/52554809.html,Audi Q8,2022,13149000,3.0,286,автомат,2546
52556325,https://auto.drom.ru/spb/audi/q7/52556325.html,Audi Q7,2006,1250000,4.0,350,АКПП,290000
52556743,https://auto.drom.ru/tyumen/audi/q5/52556743.html,Audi Q5,2013,2099000,2.0,225,АКПП,218000
52562210,https://auto.drom.ru/minsk/audi/s3/52562210.html,Audi S3,2018,3030000,2.0,290,робот,84000
52563479,https://auto.drom.ru/chita/audi/q5/52563479.html,Audi Q5,2014,2350000,2.0,225,АКПП,87000
52570015,https://auto.drom.ru/ufa/audi/a4/52570015.html,Audi A4,2017,2400000,2.0,190,робот,228000
52576068,https://auto.drom.ru/lipetsk/audi/q2/52576068.html,Audi Q2,2019,2100000,1.0,116,робот,16250
52587380,https://auto.drom.ru/bogdanovich/audi/a6/52587380.html,Audi A6,2011,1000000,2.0,170,вариатор,380000
52587898,https://auto.drom.ru/berdsk/audi/rs6/52587898.html,Audi RS6,2010,2700000,5.0,580,АКПП,95000
52592374,https://auto.drom.ru/bakhchysaray/audi/a4/52592374.html,Audi A4,2015,1530000,2.0,170,вариатор,200000
52596803,https://auto.drom.ru/ekaterinburg/audi/a4/52596803.html,Audi A4,2006,661000,2.0,130,вариатор,282720
52613494,https://auto.drom.ru/barnaul/audi/sq7/52613494.html,Audi SQ7,2020,11990000,4.0,422,АКПП,37059
