car_id,href,brand_model,production_year,price,volume,power,gearbox_type,mileage
502791228,https://auto.drom.ru/krasnoyarsk/toyota/camry/502791228.html,Toyota Camry,2017,2480000,3.0,181,АКПП,148550
503235803,https://auto.drom.ru/tobolsk/toyota/camry/503235803.html,Toyota Camry,2012,1900000,3.0,181,АКПП,184000
503461884,https://auto.drom.ru/novokuznetsk/toyota/camry/503461884.html,Toyota Camry,2011,1500000,2.0,167,АКПП,295000
503677144,https://auto.drom.ru/kyzyl/toyota/camry/503677144.html,Toyota Camry,2012,2000000,3.0,181,АКПП,280000
504153316,https://auto.drom.ru/vladivostok/toyota/camry/504153316.html,Toyota Camry,2015,1850000,3.0,160,вариатор,140000
504194406,https://auto.drom.ru/rostov-na-donu/toyota/camry/504194406.html,Toyota Camry,2012,1649000,3.0,181,АКПП,247255
505391763,https://auto.drom.ru/novosibirsk/toyota/camry/505391763.html,Toyota Camry,2014,2169000,3.0,181,АКПП,137000
507754441,https://auto.drom.ru/omsk/toyota/camry/507754441.html,Toyota Camry,2011,1722000,3.0,181,АКПП,256652
508868386,https://auto.drom.ru/nakhodka/toyota/camry/508868386.html,Toyota Camry,2020,2800000,3.0,178,вариатор,121000
510228742,https://auto.drom.ru/krasnoyarsk/toyota/camry/510228742.html,Toyota Camry,2017,2400000,3.0,181,АКПП,164000
511908327,https://auto.drom.ru/habarovsk/toyota/camry/511908327.html,Toyota Camry,2019,2500000,2.0,150,АКПП,113000
512917926,https://auto.drom.ru/krasnoyarsk/toyota/camry/512917926.html,Toyota Camry,2015,1830000,2.0,150,АКПП,236000
513482640,https://auto.drom.ru/chelyabinsk/toyota/camry/513482640.html,Toyota Camry,2018,2630000,2.0,150,АКПП,120761
515573158,https://auto.drom.ru/kurgan/toyota/camry/515573158.html,Toyota Camry,2011,1600000,2.0,167,АКПП,200000
518205106,https://auto.drom.ru/novosibirsk/toyota/camry/518205106.html,Toyota Camry,2018,2557000,3.0,181,АКПП,186250
519681832,https://auto.drom.ru/chelyabinsk/toyota/camry/519681832.html,Toyota Camry,2012,1849000,3.0,181,АКПП,254764
520285393,https://auto.drom.ru/samara/toyota/camry/520285393.html,Toyota Camry,2012,2389000,4.0,277,АКПП,96153
521423149,https://auto.drom.ru/krasnodar/toyota/camry/521423149.html,Toyota Camry,2019,3200000,3.0,181,АКПП,87000
523565030,https://auto.drom.ru/tver/toyota/camry/523565030.html,Toyota Camry,2014,1875000,3.0,181,АКПП,220969
525723233,https://auto.drom.ru/nizhnevartovsk/toyota/camry/525723233.html,Toyota Camry,2013,2148000,3.0,181,АКПП,245000
527367174,https://auto.drom.ru/chelyabinsk/toyota/camry/527367174.html,Toyota Camry,2014,2049000,2.0,148,АКПП,162700
527774153,https://auto.drom.ru/omsk/toyota/camry/527774153.html,Toyota Camry,2020,3225000,3.0,181,АКПП,27622
528223126,https://auto.drom.ru/spb/toyota/camry/528223126.html,Toyota Camry,2012,1590000,3.0,181,АКПП,215500
528311502,https://auto.drom.ru/barnaul/toyota/camry/528311502.html,Toyota Camry,2010,1650000,2.0,167,АКПП,230000
528554419,https://auto.drom.ru/krasnoyarsk/toyota/camry/528554419.html,Toyota Camry,2012,1857000,3.0,181,АКПП,178000
528911339,https://auto.drom.ru/novosibirsk/toyota/camry/528911339.html,Toyota Camry,2016,2420000,4.0,249,АКПП,183792
529515732,https://auto.drom.ru/irkutsk/toyota/camry/529515732.html,Toyota Camry,2019,3400000,3.0,181,АКПП,44500
529608371,https://auto.drom.ru/voronezh/toyota/camry/529608371.html,Toyota Camry,2016,2835000,3.0,181,АКПП,121128
530185449,https://auto.drom.ru/ussuriisk/toyota/camry/530185449.html,Toyota Camry,2010,1390000,2.0,147,вариатор,227000
530265665,https://auto.drom.ru/novosibirsk/toyota/camry/530265665.html,Toyota Camry,2013,1750000,3.0,181,АКПП,243200
530740386,https://auto.drom.ru/surgut/toyota/camry/530740386.html,Toyota Camry,2019,3200000,4.0,249,АКПП,124611
530817030,https://auto.drom.ru/novosibirsk/toyota/camry/530817030.html,Toyota Camry,2012,2180000,3.0,181,АКПП,105000
532716728,https://auto.drom.ru/surgut/toyota/camry/532716728.html,Toyota Camry,2010,1480000,2.0,167,АКПП,260000
534563184,https://auto.drom.ru/novosibirsk/toyota/camry/534563184.html,Toyota Camry,2012,1710000,3.0,181,АКПП,260000
534620054,https://auto.drom.ru/barnaul/toyota/camry/534620054.html,Toyota Camry,2012,2190000,3.0,181,АКПП,138600
535351690,https://auto.drom.ru/barnaul/toyota/camry/535351690.html,Toyota Camry,2020,3590000,3.0,181,АКПП,58920
535486225,https://auto.drom.ru/astrahan/toyota/camry/535486225.html,Toyota Camry,2018,2830000,3.0,181,АКПП,83000
536879139,https://auto.drom.ru/noyabrsk/toyota/camry/536879139.html,Toyota Camry,2016,2770000,4.0,249,АКПП,127000
537126519,https://auto.drom.ru/tomsk/toyota/camry/537126519.html,Toyota Camry,2018,3100000,3.0,181,АКПП,83000
541626232,https://auto.drom.ru/barnaul/toyota/camry/541626232.html,Toyota Camry,2018,2700000,3.0,181,АКПП,80700
541741774,https://auto.drom.ru/ekaterinburg/toyota/camry/541741774.html,Toyota Camry,2018,2630000,3.0,181,АКПП,99251
541961641,https://auto.drom.ru/yakutsk/toyota/camry/541961641.html,Toyota Camry,2012,1650000,3.0,160,вариатор,205000
544133910,https://auto.drom.ru/barnaul/toyota/camry/544133910.html,Toyota Camry,2012,1950000,3.0,181,АКПП,174000
545686384,https://auto.drom.ru/domodedovo/toyota/camry/545686384.html,Toyota Camry,2017,1700000,3.0,181,АКПП,210000
548179058,https://auto.drom.ru/kazan/toyota/camry/548179058.html,Toyota Camry,2020,3500000,3.0,181,АКПП,104000
549511522,https://auto.drom.ru/mytishchi/toyota/camry/549511522.html,Toyota Camry,2019,2755000,3.0,181,АКПП,70000
550192129,https://auto.drom.ru/abakan/toyota/camry/550192129.html,Toyota Camry,2011,1429000,2.0,167,механика,140000
550725991,https://auto.drom.ru/minvody/toyota/camry/550725991.html,Toyota Camry,2015,3180000,4.0,249,АКПП,72333
550974866,https://auto.drom.ru/krasnoyarsk/toyota/camry/550974866.html,Toyota Camry,2013,1800000,3.0,181,АКПП,300000
551001176,https://auto.drom.ru/yakutsk/toyota/camry/551001176.html,Toyota Camry,2012,1750000,3.0,181,АКПП,214000
551133572,https://auto.drom.ru/kamen-na-obi/toyota/camry/551133572.html,Toyota Camry,2015,2350000,3.0,181,АКПП,192000
